order_id,customer_id,sku_id,data_pedido,canal,categoria,produto,quantidade,preco_unitario,receita_bruta,desconto_reais,receita_liquida,custo_produto,custo_frete,metodo_pagamento,status_pagamento,margem_contribuicao,tempo_entrega_real,devolvido,motivo_devolucao
ORD-036085,CLI-12360,SKU-04195,2023-01-01 00:05:25,TikTok Ads,Moda,Camisa Social Delicado Prata,6,326.77,1960.62,0.0,1960.62,773.1,0.0,Cartão de Crédito,Aprovado,1187.52,14,False,Não se aplica
ORD-029209,CLI-12799,SKU-04144,2023-01-01 00:38:43,Orgânico,Lifestyle,Planta Artificial Sport Bege,1,225.27,225.27,0.0,225.27,111.21,34.56,Cartão de Crédito,Aprovado,79.5,13,False,Não se aplica
ORD-047667,CLI-11830,SKU-01400,2023-01-01 01:11:54,Instagram Ads,Moda,Vestido Sustentável Verde,6,344.12,2064.72,0.0,2064.72,956.17,0.0,PIX,Aprovado,1108.55,12,False,Não se aplica
ORD-026951,CLI-01729,SKU-00091,2023-01-01 01:19:10,Orgânico,Lifestyle,Espelho de Mesa Luxo Bege,5,135.37,676.85,0.0,676.85,203.11,0.0,Cartão de Crédito,Aprovado,473.74,11,False,Não se aplica
ORD-016561,CLI-01729,SKU-04953,2023-01-01 01:53:45,Instagram Ads,Lifestyle,Kit Chá Artesanal Bege,4,305.52,1222.08,0.0,1222.08,517.19,0.0,Cartão de Crédito,Aprovado,704.89,5,True,Arrependimento
ORD-042632,CLI-00583,SKU-03234,2023-01-01 01:56:39,TikTok Ads,Moda,Top Sport Vermelho,2,197.65,395.3,0.0,395.3,122.41,0.0,PIX,Aprovado,272.89,10,False,Não se aplica
ORD-021933,CLI-01729,SKU-01085,2023-01-01 02:16:07,Marketplace,Lifestyle,Espelho de Mesa Artesanal Nude,3,82.73,248.19,0.0,248.19,107.41,44.6,PIX,Aguardando,96.18,5,False,Não se aplica
ORD-056344,CLI-11830,SKU-02202,2023-01-01 03:17:11,TikTok Ads,Beleza,Kit Skincare Oversize Rosa,4,151.62,606.48,0.0,606.48,297.53,0.0,PIX,Aprovado,308.95,12,False,Não se aplica
ORD-008126,CLI-07163,SKU-04186,2023-01-01 03:33:53,Marketplace,Beleza,Blush Delicado Verde,3,81.38,244.14,0.0,244.14,88.34,48.7,PIX,Aprovado,107.1,8,False,Não se aplica
ORD-048261,CLI-11830,SKU-04959,2023-01-01 03:40:30,Marketplace,Moda,Vestido Edição Limitada Bege,2,388.04,776.08,298.93,477.15,290.97,19.27,PIX,Aprovado,166.91,17,True,Atraso na entrega
ORD-009908,CLI-11830,SKU-01923,2023-01-01 03:50:55,Marketplace,Moda,Shorts Artesanal Verde,1,235.41,235.41,0.0,235.41,102.26,18.13,PIX,Aprovado,115.02,16,False,Não se aplica
ORD-047228,CLI-11830,SKU-02537,2023-01-01 04:42:15,TikTok Ads,Lifestyle,Almofada Sustentável Bege,3,203.02,609.06,0.0,609.06,199.69,0.0,Boleto,Aprovado,409.37,9,False,Não se aplica
ORD-026864,CLI-11830,SKU-04232,2023-01-01 04:54:38,Email Marketing,Moda,Blusa de Tricô Urban Vermelho,6,155.06,930.36,0.0,930.36,407.29,0.0,PIX,Aprovado,523.07,8,False,Não se aplica
ORD-076865,CLI-09726,SKU-03968,2023-01-01 05:24:29,Instagram Ads,Beleza,Blush Básico Preto,1,137.78,137.78,0.0,137.78,42.27,19.14,Cartão de Crédito,Aprovado,76.37,8,False,Não se aplica
ORD-075424,CLI-08001,SKU-00692,2023-01-01 05:29:33,Marketplace,Lifestyle,Espelho de Mesa Exclusivo Branco,6,247.73,1486.38,0.0,1486.38,554.07,20.24,Boleto,Aprovado,912.07,8,False,Não se aplica
ORD-008507,CLI-01729,SKU-02129,2023-01-01 05:38:29,Instagram Ads,Beleza,Sombra Urban Vermelho,4,154.83,619.32,0.0,619.32,291.7,0.0,Cartão de Crédito,Aprovado,327.62,8,False,Não se aplica
ORD-009188,CLI-08289,SKU-04099,2023-01-01 07:05:37,Marketplace,Moda,Camiseta Slim Bege,2,290.68,581.36,0.0,581.36,284.68,56.61,Cartão de Crédito,Aprovado,240.07,18,False,Não se aplica
ORD-049533,CLI-09097,SKU-02516,2023-01-01 09:36:47,Influenciador,Beleza,Protetor Solar Oversize Verde,2,486.53,973.06,0.0,973.06,427.59,0.0,Cartão de Crédito,Aprovado,545.47,4,True,Produto com defeito
ORD-025862,CLI-03910,SKU-02870,2023-01-01 09:39:25,Instagram Ads,Lifestyle,Kit Chá Moderno Dourado,6,532.75,3196.5,0.0,3196.5,1138.09,0.0,Cartão de Crédito,Aprovado,2058.41,10,False,Não se aplica
ORD-015271,CLI-14211,SKU-03694,2023-01-01 09:55:43,Influenciador,Beleza,Kit Skincare Edição Limitada Nude,5,65.18,325.9,0.0,325.9,121.51,0.0,PIX,Aprovado,204.39,12,False,Não se aplica
ORD-058426,CLI-01729,SKU-00169,2023-01-01 10:02:47,Instagram Ads,Beleza,Base Líquida Básico Azul,5,80.09,400.45,0.0,400.45,132.36,0.0,Boleto,Aprovado,268.09,6,False,Não se aplica
ORD-072564,CLI-03910,SKU-00177,2023-01-01 10:03:15,Google Ads,Lifestyle,Espelho de Mesa Premium Verde,5,103.62,518.1,0.0,518.1,233.05,0.0,PIX,Aprovado,285.05,3,False,Não se aplica
ORD-030852,CLI-11830,SKU-04320,2023-01-01 10:33:42,Email Marketing,Beleza,Perfume Artesanal Verde,6,117.9,707.4,0.0,707.4,242.52,0.0,Cartão de Crédito,Aprovado,464.88,4,False,Não se aplica
ORD-027241,CLI-06160,SKU-00218,2023-01-01 11:01:30,Instagram Ads,Moda,Vestido Sport Preto,1,205.82,205.82,52.65,153.17,87.92,40.84,Cartão de Crédito,Aprovado,24.41,5,False,Não se aplica
ORD-048906,CLI-04838,SKU-03577,2023-01-01 11:56:04,Marketplace,Lifestyle,Garrafa Térmica Premium Verde,2,46.95,93.9,0.0,93.9,41.7,58.99,PIX,Aprovado,-6.79,5,False,Não se aplica
ORD-079827,CLI-12742,SKU-03455,2023-01-01 12:44:52,Instagram Ads,Acessórios,Carteira Premium Vermelho,4,144.01,576.04,0.0,576.04,269.06,0.0,Cartão de Crédito,Aprovado,306.98,9,False,Não se aplica
ORD-033727,CLI-01729,SKU-01638,2023-01-01 13:35:21,Email Marketing,Beleza,Perfume Delicado Azul,2,282.69,565.38,204.34,361.04,192.75,0.0,PIX,Aprovado,168.29,12,True,Arrependimento
ORD-004726,CLI-11830,SKU-01183,2023-01-01 13:44:59,Google Ads,Acessórios,Cinto Exclusivo Verde,1,178.88,178.88,0.0,178.88,63.88,15.44,PIX,Aprovado,99.56,14,False,Não se aplica
ORD-007264,CLI-11830,SKU-01301,2023-01-01 13:47:14,Google Ads,Moda,Camiseta Oversize Nude,3,123.74,371.22,0.0,371.22,154.86,0.0,Cartão de Crédito,Aprovado,216.36,7,False,Não se aplica
ORD-011884,CLI-11830,SKU-04457,2023-01-01 14:09:39,Marketplace,Beleza,Blush Artesanal Verde,5,547.15,2735.75,878.37,1857.38,1331.08,51.43,PIX,Aprovado,474.87,17,False,Não se aplica
ORD-016002,CLI-14211,SKU-03346,2023-01-01 15:06:47,Instagram Ads,Moda,Top Delicado Preto,5,280.23,1401.15,0.0,1401.15,549.18,0.0,Boleto,Cancelado,851.97,2,False,Não se aplica
ORD-051640,CLI-01729,SKU-02344,2023-01-01 15:32:05,Google Ads,Lifestyle,Garrafa Térmica Artesanal Vermelho,6,324.5,1947.0,670.22,1276.78,713.69,0.0,Cartão de Crédito,Aprovado,563.09,12,False,Não se aplica
ORD-058025,CLI-11830,SKU-01922,2023-01-01 15:44:09,Orgânico,Beleza,Perfume Exclusivo Verde,4,310.88,1243.52,0.0,1243.52,490.13,0.0,Boleto,Aprovado,753.39,9,False,Não se aplica
ORD-034146,CLI-11830,SKU-04718,2023-01-01 15:59:55,Influenciador,Beleza,Óleo Corporal Artesanal Preto,2,233.77,467.54,0.0,467.54,187.39,0.0,Cartão de Crédito,Aprovado,280.15,4,True,Produto com defeito
ORD-077770,CLI-14211,SKU-00587,2023-01-01 16:02:09,TikTok Ads,Beleza,Batom Exclusivo Azul,2,114.89,229.78,76.99,152.79,101.44,28.77,Cartão de Crédito,Aprovado,22.58,11,False,Não se aplica
ORD-062320,CLI-01729,SKU-04068,2023-01-01 18:16:57,Marketplace,Acessórios,Óculos de Sol Sustentável Dourado,4,329.31,1317.24,0.0,1317.24,608.08,16.4,Boleto,Aprovado,692.76,17,False,Não se aplica
ORD-032020,CLI-10455,SKU-03214,2023-01-01 18:19:07,Instagram Ads,Lifestyle,Kit Chá Urban Preto,1,168.26,168.26,0.0,168.26,51.41,28.02,PIX,Aprovado,88.83,8,False,Não se aplica
ORD-026009,CLI-11830,SKU-03614,2023-01-01 20:16:29,Google Ads,Acessórios,Colar Moderno Preto,4,229.23,916.92,0.0,916.92,311.26,0.0,Cartão de Crédito,Aprovado,605.66,5,False,Não se aplica
ORD-021946,CLI-11830,SKU-02770,2023-01-01 20:35:23,TikTok Ads,Moda,Blusa de Tricô Oversize Bege,3,54.77,164.31,0.0,164.31,81.27,41.06,Boleto,Aprovado,41.98,9,False,Não se aplica
ORD-048400,CLI-01729,SKU-04737,2023-01-01 20:36:15,Orgânico,Moda,Vestido Luxo Prata,4,149.49,597.96,0.0,597.96,216.86,0.0,Cartão de Crédito,Aprovado,381.1,14,False,Não se aplica
